,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
48,0,26.6205,1000,0.3922714169602841,"[1, 6, 4, 3, 5, 7, 2, 0]",True,1000,0.8,50
49,50,17.3428,7007,3.537815707968548,"[0, 7, 6, 5, 4, 3, 2, 1]",True,1000,0.8,50
50,0,26.6205,2000,0.7861740829539485,"[1, 6, 4, 3, 5, 7, 2, 0]",True,2000,0.1,50
51,50,17.3428,14007,6.995598582958337,"[3, 2, 1, 0, 7, 6, 5, 4]",True,2000,0.1,50
52,0,26.6205,2000,0.7799794999882579,"[1, 6, 4, 3, 5, 7, 2, 0]",True,2000,0.25,50
53,50,17.3428,14007,7.269383875012863,"[1, 2, 3, 4, 5, 6, 7, 0]",True,2000,0.25,50
54,0,26.6205,2000,0.7935174169833772,"[1, 6, 4, 3, 5, 7, 2, 0]",True,2000,0.5,50
55,50,17.3428,14007,7.329473584017251,"[0, 7, 6, 5, 4, 3, 2, 1]",True,2000,0.5,50
56,0,26.6205,2000,0.8037745840265416,"[1, 6, 4, 3, 5, 7, 2, 0]",True,2000,0.7,50
57,50,17.3428,14007,7.605567916994914,"[2, 3, 4, 5, 6, 7, 0, 1]",True,2000,0.7,50
58,0,26.6205,2000,0.9386270000250079,"[1, 6, 4, 3, 5, 7, 2, 0]",True,2000,0.8,50
59,50,17.3428,14007,7.548991084040608,"[2, 1, 0, 7, 6, 5, 4, 3]",True,2000,0.8,50
