,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
84,4,0.1660845840233378,18.180500000000002,1005.0,True,200,0.25,50
85,5,0.1944435000186786,18.180500000000002,1206.0,True,200,0.25,50
86,6,0.22344475000863895,18.180500000000002,1407.0,True,200,0.25,50
87,0,0.030903959006536752,26.6205,200.0,True,200,0.5,50
88,1,0.07666029199026525,19.1952,402.0,True,200,0.5,50
89,2,0.10495883401017636,17.3428,604.0,True,200,0.5,50
90,3,0.13408591703046113,17.3428,805.0,True,200,0.5,50
91,4,0.1660845840233378,17.3428,1006.0,True,200,0.5,50
92,5,0.1944435000186786,17.3428,1207.0,True,200,0.5,50
93,6,0.22344475000863895,17.3428,1408.0,True,200,0.5,50
94,7,0.020808959030546248,17.3428,1609.0,True,200,0.5,50
95,0,0.030903959006536752,26.6205,200.0,True,200,0.7,50
96,1,0.07666029199026525,19.4073,402.0,True,200,0.7,50
97,2,0.10495883401017636,18.180500000000002,604.0,True,200,0.7,50
98,3,0.13408591703046113,18.180500000000002,805.0,True,200,0.7,50
99,4,0.1660845840233378,18.180500000000002,1006.0,True,200,0.7,50
100,5,0.1944435000186786,18.180500000000002,1207.0,True,200,0.7,50
101,6,0.22344475000863895,18.180500000000002,1408.0,True,200,0.7,50
102,7,0.020808959030546248,18.180500000000002,1609.0,True,200,0.7,50
103,0,0.030903959006536752,26.6205,200.0,True,200,0.8,50
104,1,0.07666029199026525,19.8746,402.0,True,200,0.8,50
105,2,0.10495883401017636,19.436999999999998,604.0,True,200,0.8,50
106,3,0.13408591703046113,19.1952,806.0,True,200,0.8,50
107,4,0.1660845840233378,18.895899999999997,1008.0,True,200,0.8,50
108,5,0.1944435000186786,18.895899999999997,1209.0,True,200,0.8,50
109,6,0.22344475000863895,18.895899999999997,1410.0,True,200,0.8,50
110,7,0.020808959030546248,18.7123,1612.0,True,200,0.8,50
111,8,0.051316209021024406,18.7123,1813.0,True,200,0.8,50
112,9,0.07882958400296047,18.7123,2014.0,True,200,0.8,50
113,10,0.11956720898160711,18.7123,2215.0,True,200,0.8,50
114,11,0.14887874998385087,18.7123,2416.0,True,200,0.8,50
115,12,0.17633812502026558,18.7123,2617.0,True,200,0.8,50
116,0,0.030903959006536752,26.6205,500.0,True,500,0.1,50
117,1,0.07666029199026525,17.3428,1002.0,True,500,0.1,50
118,2,0.10495883401017636,17.3428,1503.0,True,500,0.1,50
119,3,0.13408591703046113,17.3428,2004.0,True,500,0.1,50
120,4,0.1660845840233378,17.3428,2505.0,True,500,0.1,50
121,5,0.1944435000186786,17.3428,3006.0,True,500,0.1,50
122,6,0.22344475000863895,17.3428,3507.0,True,500,0.1,50
123,0,0.030903959006536752,26.6205,500.0,True,500,0.25,50
124,1,0.07666029199026525,17.3428,1002.0,True,500,0.25,50
125,2,0.10495883401017636,17.3428,1503.0,True,500,0.25,50
126,3,0.13408591703046113,17.3428,2004.0,True,500,0.25,50
127,4,0.1660845840233378,17.3428,2505.0,True,500,0.25,50
128,5,0.1944435000186786,17.3428,3006.0,True,500,0.25,50
129,6,0.22344475000863895,17.3428,3507.0,True,500,0.25,50
130,0,0.030903959006536752,26.6205,500.0,True,500,0.5,50
131,1,0.07666029199026525,18.180500000000002,1002.0,True,500,0.5,50
132,2,0.10495883401017636,18.180500000000002,1503.0,True,500,0.5,50
133,3,0.13408591703046113,18.180500000000002,2004.0,True,500,0.5,50
134,4,0.1660845840233378,17.3428,2506.0,True,500,0.5,50
135,5,0.1944435000186786,17.3428,3007.0,True,500,0.5,50
136,6,0.22344475000863895,17.3428,3508.0,True,500,0.5,50
137,7,0.020808959030546248,17.3428,4009.0,True,500,0.5,50
138,8,0.051316209021024406,17.3428,4510.0,True,500,0.5,50
139,9,0.07882958400296047,17.3428,5011.0,True,500,0.5,50
140,0,0.030903959006536752,26.6205,500.0,True,500,0.7,50
141,1,0.07666029199026525,18.180500000000002,1002.0,True,500,0.7,50
142,2,0.10495883401017636,18.180500000000002,1503.0,True,500,0.7,50
143,3,0.13408591703046113,17.3428,2005.0,True,500,0.7,50
144,4,0.1660845840233378,17.3428,2506.0,True,500,0.7,50
145,5,0.1944435000186786,17.3428,3007.0,True,500,0.7,50
146,6,0.22344475000863895,17.3428,3508.0,True,500,0.7,50
147,7,0.020808959030546248,17.3428,4009.0,True,500,0.7,50
148,8,0.051316209021024406,17.3428,4510.0,True,500,0.7,50
149,0,0.030903959006536752,26.6205,500.0,True,500,0.8,50
150,1,0.07666029199026525,19.436999999999998,1002.0,True,500,0.8,50
151,2,0.10495883401017636,19.436999999999998,1503.0,True,500,0.8,50
152,3,0.13408591703046113,19.4073,2005.0,True,500,0.8,50
153,4,0.1660845840233378,18.895899999999997,2507.0,True,500,0.8,50
154,5,0.1944435000186786,17.3428,3009.0,True,500,0.8,50
155,6,0.22344475000863895,17.3428,3510.0,True,500,0.8,50
156,7,0.020808959030546248,17.3428,4011.0,True,500,0.8,50
157,8,0.051316209021024406,17.3428,4512.0,True,500,0.8,50
158,9,0.07882958400296047,17.3428,5013.0,True,500,0.8,50
159,10,0.11956720898160711,17.3428,5514.0,True,500,0.8,50
160,0,0.030903959006536752,26.6205,1000.0,True,1000,0.1,50
161,1,0.07666029199026525,17.3428,2002.0,True,1000,0.1,50
162,2,0.10495883401017636,17.3428,3003.0,True,1000,0.1,50
163,3,0.13408591703046113,17.3428,4004.0,True,1000,0.1,50
164,4,0.1660845840233378,17.3428,5005.0,True,1000,0.1,50
