,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
16,0,567.0,100,0.02426666597602889,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,100,0.7,50
17,50,576.0,1720,2.913774957996793,"[6.0, 15.0, 3.0, 12.0, 34.0, 18.0, 6.0, 25.0, 25.0, 17.0, 9.0, 11.0, 31.0, 11.0, 1.0, 14.0, 32.0, 13.0, 28.0, 26.0, 29.0, 7.0, 9.0, 27.0, 4.0, 13.0, 21.0, 17.0, 31.0, 8.0, 24.0, 20.0, 34.0, 7.0, 21.0]",True,100,0.7,50
18,0,567.0,100,0.020951082988176495,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,100,0.8,50
19,50,569.0,707,1.1082394169643521,"[6.0, 27.0, 18.0, 33.0, 33.0, 29.0, 10.0, 15.0, 0.0, 1.0, 30.0, 28.0, 21.0, 30.0, 12.0, 2.0, 32.0, 1.0, 19.0, 26.0, 10.0, 33.0, 21.0, 2.0, 4.0, 25.0, 23.0, 29.0, 14.0, 7.0, 32.0, 7.0, 22.0, 13.0, 33.0]",True,100,0.8,50
20,0,567.0,200,0.04324116598581895,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,200,0.1,50
21,50,572.0,1609,1.5761410410050303,"[21.0, 27.0, 29.0, 15.0, 2.0, 1.0, 16.0, 27.0, 5.0, 11.0, 25.0, 30.0, 24.0, 17.0, 34.0, 8.0, 0.0, 16.0, 21.0, 1.0, 32.0, 4.0, 29.0, 16.0, 3.0, 31.0, 1.0, 28.0, 15.0, 9.0, 13.0, 26.0, 32.0, 14.0, 11.0]",True,200,0.1,50
22,0,567.0,200,0.04580341698601842,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,200,0.25,50
23,50,578.0,2214,1.9026351670036092,"[11.0, 1.0, 18.0, 25.0, 3.0, 24.0, 33.0, 6.0, 14.0, 26.0, 17.0, 5.0, 20.0, 6.0, 0.0, 7.0, 28.0, 1.0, 29.0, 4.0, 5.0, 25.0, 30.0, 2.0, 19.0, 8.0, 14.0, 30.0, 17.0, 34.0, 21.0, 3.0, 21.0, 8.0, 16.0]",True,200,0.25,50
24,0,567.0,200,0.04210904199862853,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,200,0.5,50
25,50,579.0,3824,4.475941082986537,"[26.0, 15.0, 17.0, 30.0, 16.0, 13.0, 6.0, 6.0, 27.0, 1.0, 25.0, 34.0, 10.0, 2.0, 12.0, 33.0, 21.0, 31.0, 11.0, 22.0, 7.0, 32.0, 17.0, 27.0, 0.0, 19.0, 33.0, 1.0, 4.0, 9.0, 20.0, 30.0, 14.0, 14.0, 18.0]",True,200,0.5,50
26,0,567.0,200,0.04206529096700251,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,200,0.7,50
27,50,576.0,3421,4.606373582966626,"[26.0, 30.0, 3.0, 27.0, 19.0, 28.0, 0.0, 9.0, 14.0, 8.0, 7.0, 33.0, 2.0, 1.0, 19.0, 31.0, 32.0, 15.0, 2.0, 23.0, 22.0, 24.0, 29.0, 24.0, 19.0, 3.0, 32.0, 12.0, 13.0, 6.0, 9.0, 5.0, 21.0, 29.0, 25.0]",True,200,0.7,50
28,0,567.0,200,0.04224895901279524,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,200,0.8,50
29,50,575.0,1811,6.95653291704366,"[20.0, 21.0, 9.0, 26.0, 8.0, 18.0, 20.0, 2.0, 18.0, 11.0, 26.0, 27.0, 33.0, 11.0, 13.0, 0.0, 12.0, 22.0, 17.0, 14.0, 1.0, 15.0, 28.0, 33.0, 19.0, 5.0, 13.0, 15.0, 4.0, 25.0, 31.0, 34.0, 16.0, 4.0, 7.0]",True,200,0.8,50
30,0,567.0,500,0.10428908304311335,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,500,0.1,50
31,50,583.0,7018,5.811222332995385,"[7.0, 19.0, 1.0, 10.0, 34.0, 24.0, 4.0, 28.0, 1.0, 9.0, 12.0, 16.0, 4.0, 27.0, 30.0, 27.0, 17.0, 8.0, 14.0, 25.0, 15.0, 31.0, 19.0, 29.0, 5.0, 33.0, 8.0, 12.0, 22.0, 32.0, 13.0, 18.0, 21.0, 23.0, 2.0]",True,500,0.1,50
32,0,567.0,500,0.1036639169906266,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,500,0.25,50
33,50,579.0,7019,4.934772874985356,"[4.0, 6.0, 18.0, 26.0, 17.0, 3.0, 12.0, 31.0, 2.0, 15.0, 9.0, 23.0, 5.0, 10.0, 1.0, 0.0, 24.0, 33.0, 7.0, 21.0, 2.0, 32.0, 16.0, 34.0, 1.0, 16.0, 22.0, 0.0, 18.0, 13.0, 30.0, 27.0, 20.0, 19.0, 9.0]",True,500,0.25,50
34,0,567.0,500,0.10329954203916714,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,500,0.5,50
